draft_item_id	pre_generation_review_id	exact_template_candidate_id	input_candidate_id	audit_id	ref	approved_family	hebrew_token	hebrew_phrase	draft_prompt	expected_answer	answer_choices	correct_answer	distractor_notes	explanation	source_evidence_note	draft_review_status	answer_key_review_status	distractor_review_status	hebrew_rendering_review_status	protected_preview_gate_review_status	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	cautions	yossi_draft_decision	yossi_draft_notes
cdraft_b1_001	preg_b1_002	extmpl_b1_002	ppplan_b1_002	qelig_b1_035	Bereishis 1:6	vocabulary_meaning	רקיע	יְהִי רָקִיעַ	In this phrase, what does רקיע mean?	expanse / firmament	expanse / firmament|fruit|night|bird	expanse / firmament	Draft distractors are same general vocabulary-review style and require distractor review.	"Teacher-review draft: רקיע is used here with the basic meaning ""expanse"" or ""firmament,"" depending on class vocabulary."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved_after_revision	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Answer-key wording was revised to allow expanse/firmament. Still requires final teacher review before preview use. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_002	preg_b1_003	extmpl_b1_003	ppplan_b1_003	qelig_b1_038	Bereishis 1:11	vocabulary_meaning	דשא	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא	In this phrase, what does דשא mean?	grass	grass|fruit|bird|night	grass	Draft distractors are same general vocabulary-review style and require distractor review.	Teacher-review draft: דשא is used here with the basic meaning 'grass'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_003	preg_b1_004	extmpl_b1_004	ppplan_b1_004	qelig_b1_040	Bereishis 1:11	vocabulary_meaning	פרי	עֵץ פְּרִי עֹשֶׂה פְּרִי	In this phrase, what does פרי mean?	fruit	fruit|grass|lights|animal	fruit	Draft distractors are same general vocabulary-review style and require distractor review.	Teacher-review draft: פרי is used here with the basic meaning 'fruit'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_004	preg_b1_005	extmpl_b1_005	ppplan_b1_005	qelig_b1_085	Bereishis 1:14	vocabulary_meaning	מאורות	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	In this phrase, what does מאורות mean?	lights / luminaries	lights / luminaries|night|seed|bird	lights / luminaries	Draft distractors are same general vocabulary-review style and require distractor review.	Teacher-review draft: מאורות means lights/luminaries in this phrase.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved_after_revision	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Answer-key wording was revised to allow lights/luminaries. Still requires final teacher review before preview use. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_005	preg_b1_006	extmpl_b1_006	ppplan_b1_006	qelig_b1_089	Bereishis 1:14	vocabulary_meaning	לילה	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	In this phrase, what does לילה mean?	night	night|day|fruit|grass	night	Draft distractors are same general vocabulary-review style and require distractor review.	Teacher-review draft: לילה is used here with the basic meaning 'night'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_006	preg_b1_007	extmpl_b1_007	ppplan_b1_007	qelig_b1_098	Bereishis 1:20	vocabulary_meaning	שרץ	שֶׁרֶץ נֶפֶשׁ חַיָּה	In this phrase, what does שרץ mean?	swarming creature / creeping creature	swarming creature / creeping creature|fruit|light|land	swarming creature / creeping creature	Draft distractors are same general vocabulary-review style and require distractor review.	"Teacher-review draft: שרץ is used here with the basic meaning ""swarming creature"" or ""creeping creature,"" depending on class vocabulary."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved_after_revision	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Answer-key wording was revised to allow swarming creature/creeping creature. Still requires final teacher review before preview use. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_007	preg_b1_008	extmpl_b1_008	ppplan_b1_008	qelig_b1_101	Bereishis 1:20	vocabulary_meaning	עוף	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	In this phrase, what does עוף mean?	bird	bird|animal|fruit|night	bird	Draft distractors are same general vocabulary-review style and require distractor review.	Teacher-review draft: עוף is used here with the basic meaning 'bird'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_008	preg_b1_009	extmpl_b1_009	ppplan_b1_009	qelig_b1_193	Bereishis 1:24	vocabulary_meaning	בהמה	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	In this phrase, what does בהמה mean?	animal / beast / domesticated animal	animal / beast / domesticated animal|bird|grass|seed	animal / beast / domesticated animal	Draft distractors are same general vocabulary-review style and require distractor review.	"Teacher-review draft: בהמה is used here with the basic meaning ""animal"" or ""beast""; teacher review should confirm whether to teach this as domesticated animal in contrast to חיה."	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved_after_revision	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Answer-key wording was revised to flag the animal/beast/domesticated-animal issue. Still requires final teacher review before preview use. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_009	preg_b1_011	extmpl_b1_011	ppplan_b1_011	qelig_b1_226	Bereishis 1:31	vocabulary_meaning	טוב	וְהִנֵּה טוֹב מְאֹד	In this phrase, what does טוב mean?	good	good|night|fruit|bird	good	Draft distractors are same general vocabulary-review style and require distractor review.	Teacher-review draft: טוב is used here with the basic meaning 'good'.	Built from approved row-level vocabulary candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_010	preg_b1_012	extmpl_b1_012	ppplan_b1_012	qelig_b1_022	Bereishis 1:1	basic_noun_recognition	ארץ	את השמים ואת הארץ	What type of word is ארץ?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: ארץ is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_011	preg_b1_013	extmpl_b1_013	ppplan_b1_013	qelig_b1_024	Bereishis 1:3	basic_noun_recognition	אור	יהי אור	What type of word is אור?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: אור is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_012	preg_b1_014	extmpl_b1_014	ppplan_b1_014	qelig_b1_051	Bereishis 1:8	basic_noun_recognition	שמים	וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם	What type of word is שמים?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: שמים is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_013	preg_b1_015	extmpl_b1_015	ppplan_b1_015	qelig_b1_057	Bereishis 1:11	basic_noun_recognition	זרע	עֵשֶׂב מַזְרִיעַ זֶרַע	What type of word is זרע?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: זרע is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_014	preg_b1_016	extmpl_b1_016	ppplan_b1_016	qelig_b1_126	Bereishis 1:14	basic_noun_recognition	יום	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	What type of word is יום?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: יום is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_015	preg_b1_017	extmpl_b1_017	ppplan_b1_017	qelig_b1_160	Bereishis 1:21	basic_noun_recognition	נפש	וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת	What type of word is נפש?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: נפש is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_016	preg_b1_018	extmpl_b1_018	ppplan_b1_018	qelig_b1_161	Bereishis 1:21	basic_noun_recognition	חיה	וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת	What type of word is חיה?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: חיה is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	source_only_not_for_preview_planning	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	source_only	Resolved conservatively as source-only. Do not use as a noun-recognition draft until חיה in this phrase is clarified as noun/adjective/description for the intended teaching level. Protected-preview, reviewed-bank, runtime, and student-facing gates remain closed.
cdraft_b1_017	preg_b1_019	extmpl_b1_019	ppplan_b1_019	qelig_b1_260	Bereishis 1:25	basic_noun_recognition	רמש	וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ	What type of word is רמש?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: רמש is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_018	preg_b1_020	extmpl_b1_020	ppplan_b1_020	qelig_b1_290	Bereishis 1:29	basic_noun_recognition	עץ	וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע	What type of word is עץ?	noun	noun|action word|describing word|prefix	noun	Draft distractors use simple category wording only and require distractor review.	Teacher-review draft: עץ is treated as a simple noun/object/person/place/thing-level recognition item.	Built from approved row-level basic noun recognition candidate; no advanced grammar label is approved.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
cdraft_b1_019	preg_b1_023	extmpl_b1_023	ppplan_b1_023	qelig_b1_018	Bereishis 1:1	shoresh_identification	ברא	ברא אלקים	What is the shoresh of ברא?	ברא	ברא|אמר|בדל|ראה	ברא	Draft root distractors are plausible Hebrew roots and require distractor review.	Teacher-review draft: the reviewed shoresh for ברא is ברא.	Built from approved row-level shoresh candidate; answer key still requires Yossi review.	yossi_draft_approved	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	No special caution beyond required review gates. Surface word and target shoresh must be clearly separated; for הבדיל, target shoresh is בדל. Teacher-review-only controlled draft; not protected-preview approved.	approve_draft_item	Yossi approved this draft item for future preview-planning consideration only. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
