pre_generation_review_id,source_ref,hebrew_token,hebrew_phrase,approved_family,non_student_facing_wording_pattern,row_level_cautions,yossi_exact_wording_decision,yossi_answer_key_decision,yossi_distractor_decision,yossi_context_display_decision,yossi_hebrew_rendering_decision,yossi_protected_preview_gate_decision,yossi_notes
g2preg_p2_001,Bereishis 2:1,הַשָּׁמַיִם,וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ,basic_noun_recognition,What type of word is {hebrew_token}?,"Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions. Base noun only; not article/prefix/vav recognition; answer-key review must decide base meaning vs surface form. Revision: exact wording and answer-key review must treat this as the base noun שמים / sky/heavens, not as an article/prefix question. Revision: exact wording and answer-key review must treat this as base noun שמים / sky/heavens, not as article/prefix recognition.",approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Revision: exact wording and answer-key review must treat this as base noun שמים / sky/heavens, not as article/prefix recognition. This is not controlled-draft approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_002,Bereishis 2:4,אֶרֶץ,אֶרֶץ וְשָׁמָיִם,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_003,Bereishis 2:5,עֵשֶׂב,וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_004,Bereishis 2:8,גַּן,גַּן בְּעֵדֶן מִקֶּדֶם,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_005,Bereishis 2:9,עֵץ,כׇּל עֵץ,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_006,Bereishis 2:11,שֵׁם,שֵׁם הָאֶחָד פִּישׁוֹן,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_007,Bereishis 2:11,הַזָּהָב,אֲשֶׁר שָׁם הַזָּהָב,basic_noun_recognition,What type of word is {hebrew_token}?,"Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions. Base noun only; not article/prefix/vav recognition; answer-key review must decide base meaning vs surface form. Revision: exact wording and answer-key review must treat this as the base noun זהב / gold, not as an article/prefix question. Revision: exact wording and answer-key review must treat this as base noun זהב / gold, not as article/prefix recognition.",approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Revision: exact wording and answer-key review must treat this as base noun זהב / gold, not as article/prefix recognition. This is not controlled-draft approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_008,Bereishis 2:12,וְאֶבֶן,שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם,basic_noun_recognition,What type of word is {hebrew_token}?,"Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions. Base noun only; not article/prefix/vav recognition; answer-key review must decide base meaning vs surface form. Revision: exact wording and answer-key review must treat this as the base noun אבן / stone, not as a vav/prefix question. Revision: exact wording and answer-key review must treat this as base noun אבן / stone, not as vav/prefix recognition.",approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Revision: exact wording and answer-key review must treat this as base noun אבן / stone, not as vav/prefix recognition. This is not controlled-draft approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_009,Bereishis 2:13,הַנָּהָר,וְשֵׁם הַנָּהָר הַשֵּׁנִי גִּיחוֹן,basic_noun_recognition,What type of word is {hebrew_token}?,"Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions. Base noun only; not article/prefix/vav recognition; answer-key review must decide base meaning vs surface form. Revision: exact wording and answer-key review must treat this as the base noun נהר / river, not as an article/prefix question. Revision: exact wording and answer-key review must treat this as base noun נהר / river, not as article/prefix recognition.",approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Revision: exact wording and answer-key review must treat this as base noun נהר / river, not as article/prefix recognition. This is not controlled-draft approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_010,Bereishis 2:15,עֵדֶן,וַיַּנִּחֵהוּ בְגַן עֵדֶן,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_011,Bereishis 2:19,נֶפֶשׁ,וְכֹל אֲשֶׁר יִקְרָא לוֹ הָאָדָם נֶפֶשׁ חַיָּה,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_012,Bereishis 2:21,בָּשָׂר,וַיִּסְגֹּר בָּשָׂר תַּחְתֶּנָּה,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_013,Bereishis 2:23,אִשָּׁה,לְזֹאת יִקָּרֵא אִשָּׁה,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
g2preg_p2_014,Bereishis 2:24,אִישׁ,עַל כֵּן יַעֲזָב אִישׁ,basic_noun_recognition,What type of word is {hebrew_token}?,Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for teacher-review-only controlled draft generation. This is not protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
