pre_generation_review_id,ref,hebrew_token,hebrew_phrase,approved_family,non_student_facing_wording_pattern,row_level_cautions,exact_wording_review_status,answer_key_language_review_status,distractor_constraints_review_status,context_display_review_status,hebrew_rendering_review_status,protected_preview_gate_review_status,yossi_exact_wording_decision,yossi_answer_key_decision,yossi_distractor_decision,yossi_context_display_decision,yossi_hebrew_rendering_decision,yossi_protected_preview_gate_decision,yossi_notes
preg_b1_001,Bereishis 1:2,המים,על פני המים,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",Answer-key review must decide base meaning vs article-inclusive meaning. Answer-key review must decide base meaning vs article-inclusive meaning.,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Answer-key review must decide whether the expected meaning for המים is base meaning only, article-inclusive meaning, or acceptable variants. This row must not be used for draft generation until the revision is applied."
preg_b1_002,Bereishis 1:6,רקיע,יְהִי רָקִיעַ,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_003,Bereishis 1:11,דשא,תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_004,Bereishis 1:11,פרי,עֵץ פְּרִי עֹשֶׂה פְּרִי,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_005,Bereishis 1:14,מאורות,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_006,Bereishis 1:14,לילה,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_007,Bereishis 1:20,שרץ,שֶׁרֶץ נֶפֶשׁ חַיָּה,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_008,Bereishis 1:20,עוף,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_009,Bereishis 1:24,בהמה,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_010,Bereishis 1:25,האדמה,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",Answer-key review must decide base meaning vs article-inclusive meaning. Answer-key review must decide base meaning vs article-inclusive meaning.,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Answer-key review must decide whether the expected meaning for האדמה is base meaning only, article-inclusive meaning, or acceptable variants. This row must not be used for draft generation until the revision is applied."
preg_b1_011,Bereishis 1:31,טוב,וְהִנֵּה טוֹב מְאֹד,vocabulary_meaning,"In this phrase, what does {hebrew_token} mean?",No special caution beyond required review gates.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_012,Bereishis 1:1,ארץ,את השמים ואת הארץ,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_013,Bereishis 1:3,אור,יהי אור,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_014,Bereishis 1:8,שמים,וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_015,Bereishis 1:11,זרע,עֵשֶׂב מַזְרִיעַ זֶרַע,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_016,Bereishis 1:14,יום,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_017,Bereishis 1:21,נפש,וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_018,Bereishis 1:21,חיה,וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_019,Bereishis 1:25,רמש,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_020,Bereishis 1:29,עץ,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,basic_noun_recognition,What type of word is {hebrew_token}?,No special caution beyond required review gates. Future exact wording must stay simple: noun/object/person/place/thing only; no advanced grammar labels or construct/suffix/adjective/advanced part-of-speech claims.,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_021,Bereishis 1:16,את,אֶת שְׁנֵי הַמְּאֹרֹת הַגְּדֹלִים,direct_object_marker_recognition,What is the job of את in this phrase?,Function wording only; do not ask what את means as a simple translation. Function-based wording only; do not ask What does את mean; do not translate את as the or with.,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Future wording must ask about the function of את, not a simple translation. Do not ask What does את mean. Do not translate את as the or with. This row must not be used for draft generation until the revision is applied."
preg_b1_022,Bereishis 1:25,את,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,direct_object_marker_recognition,What is the job of את in this phrase?,Function wording only; do not ask what את means as a simple translation. Function-based wording only; do not ask What does את mean; do not translate את as the or with.,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,"Future wording must ask about the function of את, not a simple translation. Do not ask What does את mean. Do not translate את as the or with. This row must not be used for draft generation until the revision is applied."
preg_b1_023,Bereishis 1:1,ברא,ברא אלקים,shoresh_identification,What is the shoresh of {hebrew_token}?,"No special caution beyond required review gates. Surface word and target shoresh must be clearly separated; for הבדיל, target shoresh is בדל.",approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,approve_for_controlled_draft_generation,"Approved for future controlled draft-generation planning only. This is not final question approval, answer-choice approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
preg_b1_024,Bereishis 1:14,הבדיל,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,shoresh_identification,What is the shoresh of {hebrew_token}?,"Target shoresh is בדל; surface token is הבדיל. Surface word and target shoresh must be clearly separated; for הבדיל, target shoresh is בדל.",approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,approve_with_revision,Future wording must separate surface word from target shoresh. Target shoresh is בדל. Do not imply that הבדיל itself is the shoresh. This row must not be used for draft generation until the revision is applied.
