input_candidate_id,audit_id,ref,hebrew_token,hebrew_phrase,approved_family,risk_level,selection_reason,teacher_wording_review_status,answer_key_review_status,distractor_review_status,context_display_review_status,yossi_input_planning_decision,yossi_notes
ppplan_b1_001,qelig_b1_010,Bereishis 1:2,המים,על פני המים,vocabulary_meaning,low,Early low-risk vocabulary token with concrete source context.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval. Later answer-key review must decide whether the expected answer includes the article or only the base meaning."
ppplan_b1_002,qelig_b1_035,Bereishis 1:6,רקיע,יְהִי רָקִיעַ,vocabulary_meaning,low,Early-middle low-risk vocabulary token central to the slice and easy to review.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_003,qelig_b1_038,Bereishis 1:11,דשא,תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא,vocabulary_meaning,low,Low-risk plant vocabulary token with direct local evidence.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_004,qelig_b1_040,Bereishis 1:11,פרי,עֵץ פְּרִי עֹשֶׂה פְּרִי,vocabulary_meaning,low,Low-risk noun vocabulary token with clean one-token scope.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_005,qelig_b1_085,Bereishis 1:14,מאורות,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,vocabulary_meaning,low,Middle-slice low-risk luminary vocabulary token with clean local evidence.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_006,qelig_b1_089,Bereishis 1:14,לילה,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,vocabulary_meaning,low,Middle-slice low-risk time vocabulary token paired with simple meaning review.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_007,qelig_b1_098,Bereishis 1:20,שרץ,שֶׁרֶץ נֶפֶשׁ חַיָּה,vocabulary_meaning,low,Low-risk living-creature vocabulary token from the middle-late slice.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_008,qelig_b1_101,Bereishis 1:20,עוף,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,vocabulary_meaning,low,Low-risk animal/bird vocabulary token with clean token scope.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_009,qelig_b1_193,Bereishis 1:24,בהמה,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,vocabulary_meaning,low,Late-slice low-risk animal vocabulary token for perek spread.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_010,qelig_b1_200,Bereishis 1:25,האדמה,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,vocabulary_meaning,low,Late-slice low-risk land vocabulary token with local evidence.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval. Later answer-key review must decide whether the expected answer includes the article or only the base meaning."
ppplan_b1_011,qelig_b1_226,Bereishis 1:31,טוב,וְהִנֵּה טוֹב מְאֹד,vocabulary_meaning,low,Late-slice low-risk adjective/vocabulary token included for end-of-perek spread and later wording review.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_012,qelig_b1_022,Bereishis 1:1,ארץ,את השמים ואת הארץ,basic_noun_recognition,low,Early clean token-level noun-recognition row from verified standards enrichment.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_013,qelig_b1_024,Bereishis 1:3,אור,יהי אור,basic_noun_recognition,low,Early clean noun-recognition row with simple token scope.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_014,qelig_b1_051,Bereishis 1:8,שמים,וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם,basic_noun_recognition,low,Middle clean noun-recognition row for common noun review.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_015,qelig_b1_057,Bereishis 1:11,זרע,עֵשֶׂב מַזְרִיעַ זֶרַע,basic_noun_recognition,low,Middle clean noun-recognition row with concrete vocabulary support.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_016,qelig_b1_126,Bereishis 1:14,יום,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,basic_noun_recognition,low,Middle clean noun-recognition row for basic time noun review.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_017,qelig_b1_160,Bereishis 1:21,נפש,וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת,basic_noun_recognition,low,Middle-late clean noun-recognition row with token-level standards support.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_018,qelig_b1_161,Bereishis 1:21,חיה,וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת,basic_noun_recognition,low,Middle-late clean noun-recognition row paired with simple noun category review.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_019,qelig_b1_260,Bereishis 1:25,רמש,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,basic_noun_recognition,low,Late clean noun-recognition row for perek spread.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_020,qelig_b1_290,Bereishis 1:29,עץ,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,basic_noun_recognition,low,Late clean noun-recognition row with one-token target.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_021,qelig_b1_133,Bereishis 1:16,את,אֶת שְׁנֵי הַמְּאֹרֹת הַגְּדֹלִים,direct_object_marker_recognition,medium,Direct-object-marker sample from the middle slice; included to test function wording constraints.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval. Future wording must ask about the function of את, not a simple translation."
ppplan_b1_022,qelig_b1_255,Bereishis 1:25,את,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,direct_object_marker_recognition,medium,Direct-object-marker sample from the late slice; included to test function wording across perek spread.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval. Future wording must ask about the function of את, not a simple translation."
ppplan_b1_023,qelig_b1_018,Bereishis 1:1,ברא,ברא אלקים,shoresh_identification,low,Shoresh sample with clean reviewed root candidate and early-perek spread.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
ppplan_b1_024,qelig_b1_125,Bereishis 1:14,הבדיל,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,shoresh_identification,low,Shoresh sample with clean reviewed root candidate from the middle slice.,needs_review,needs_review,needs_review,needs_review,approve_for_template_skeleton_planning,"Approved for future template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval. Future shoresh wording must identify בדל as the shoresh; do not imply that הבדיל itself is the root."
