candidate_id,parent_candidate_id,ref,hebrew_token,parent_phrase,proposed_zekelman_standard,canonical_skill_id,canonical_standard_anchor,evidence_note,confidence,current_status,recommended_decision,yossi_decision,yossi_notes
stdtok_b1_14_23_001,std_b1_14_r002,Bereishis 1:14,יהי,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.07,VERB.TENSE.FUTURE,3.07,Isolates יהי into a 3.07 verb-feature lane; future/jussive force remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_002,std_b1_14_r002,Bereishis 1:14,מאורות,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates מאורות into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_003,std_b1_14_r002,Bereishis 1:14,ב,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ב from ברקיע; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_004,std_b1_14_r002,Bereishis 1:14,רקיע,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates רקיע into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_005,std_b1_14_r002,Bereishis 1:14,שמים,יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates שמים into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_006,std_b1_14_r003,Bereishis 1:14,ל,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ל from להבדיל; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_007,std_b1_14_r003,Bereishis 1:14,הבדיל,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,3.02,ROOT.IDENTIFY,3.02,Isolates the בדל root candidate from להבדיל for root-identification review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_008,std_b1_14_r003,Bereishis 1:14,יום,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,3.01,WORD.MEANING_BASIC,3.01,Isolates יום into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_009,std_b1_14_r003,Bereishis 1:14,לילה,לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה,3.01,WORD.MEANING_BASIC,3.01,Isolates לילה into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_010,std_b1_15_r007,Bereishis 1:15,והיו,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.07,VERB.TENSE.FUTURE,3.07,Isolates והיו into a verb-feature lane; exact tense/function remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_011,std_b1_15_r007,Bereishis 1:15,ל,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ל from למאורות; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_012,std_b1_15_r007,Bereishis 1:15,מאורות,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates מאורות into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_013,std_b1_15_r007,Bereishis 1:15,רקיע,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates רקיע into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_014,std_b1_15_r007,Bereishis 1:15,שמים,וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates שמים into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_015,std_b1_16_r011,Bereishis 1:16,את,אֶת שְׁנֵי הַמְּאֹרֹת הַגְּדֹלִים,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Isolates את as direct-object-marker/function-word review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_016,std_b1_16_r011,Bereishis 1:16,מאורות,אֶת שְׁנֵי הַמְּאֹרֹת הַגְּדֹלִים,3.01,WORD.MEANING_BASIC,3.01,Isolates מאורות into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_017,std_b1_16_r012,Bereishis 1:16,את,אֶת הַמָּאוֹר הַגָּדֹל לְמֶמְשֶׁלֶת הַיּוֹם,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Isolates את as direct-object-marker/function-word review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_018,std_b1_16_r012,Bereishis 1:16,מאור,אֶת הַמָּאוֹר הַגָּדֹל לְמֶמְשֶׁלֶת הַיּוֹם,3.01,WORD.MEANING_BASIC,3.01,Isolates מאור into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_019,std_b1_16_r012,Bereishis 1:16,ל,אֶת הַמָּאוֹר הַגָּדֹל לְמֶמְשֶׁלֶת הַיּוֹם,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ל from לממשלת; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_020,std_b1_16_r012,Bereishis 1:16,יום,אֶת הַמָּאוֹר הַגָּדֹל לְמֶמְשֶׁלֶת הַיּוֹם,3.01,WORD.MEANING_BASIC,3.01,Isolates יום into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_021,std_b1_16_r013,Bereishis 1:16,את,וְאֶת הַמָּאוֹר הַקָּטֹן לְמֶמְשֶׁלֶת הַלָּיְלָה,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Isolates את from ואת as direct-object-marker/function-word review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_022,std_b1_16_r013,Bereishis 1:16,מאור,וְאֶת הַמָּאוֹר הַקָּטֹן לְמֶמְשֶׁלֶת הַלָּיְלָה,3.01,WORD.MEANING_BASIC,3.01,Isolates מאור into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_023,std_b1_16_r013,Bereishis 1:16,ל,וְאֶת הַמָּאוֹר הַקָּטֹן לְמֶמְשֶׁלֶת הַלָּיְלָה,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ל from לממשלת; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_024,std_b1_16_r013,Bereishis 1:16,לילה,וְאֶת הַמָּאוֹר הַקָּטֹן לְמֶמְשֶׁלֶת הַלָּיְלָה,3.01,WORD.MEANING_BASIC,3.01,Isolates לילה into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_025,std_b1_16_r014,Bereishis 1:16,את,וְאֵת הַכּוֹכָבִים,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Isolates את from ואת as direct-object-marker/function-word review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_026,std_b1_16_r014,Bereishis 1:16,כוכבים,וְאֵת הַכּוֹכָבִים,3.01,WORD.MEANING_BASIC,3.01,Isolates כוכבים into a noun-vocabulary lane; evidence remains relatively thin.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_027,std_b1_18_r018,Bereishis 1:18,ל,וְלִמְשֹׁל בַּיּוֹם וּבַלַּיְלָה,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ל from ולמשול; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_028,std_b1_18_r018,Bereishis 1:18,משל,וְלִמְשֹׁל בַּיּוֹם וּבַלַּיְלָה,3.02,ROOT.IDENTIFY,3.02,Isolates משל root candidate from ולמשול; review needed.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_029,std_b1_18_r018,Bereishis 1:18,יום,וְלִמְשֹׁל בַּיּוֹם וּבַלַּיְלָה,3.01,WORD.MEANING_BASIC,3.01,Isolates יום into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_030,std_b1_18_r018,Bereishis 1:18,לילה,וְלִמְשֹׁל בַּיּוֹם וּבַלַּיְלָה,3.01,WORD.MEANING_BASIC,3.01,Isolates לילה into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_031,std_b1_18_r019,Bereishis 1:18,ל,וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ,3.06,PREFIX.BASIC_PREPOSITIONS,3.06,Isolates prefixed ל from ולהבדיל; prefix-function evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_032,std_b1_18_r019,Bereishis 1:18,הבדיל,וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ,3.02,ROOT.IDENTIFY,3.02,Isolates בדל root candidate from ולהבדיל for review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_033,std_b1_18_r019,Bereishis 1:18,אור,וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ,3.01,WORD.MEANING_BASIC,3.01,Isolates אור into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_034,std_b1_18_r019,Bereishis 1:18,חושך,וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ,3.01,WORD.MEANING_BASIC,3.01,Isolates חושך into a noun-vocabulary lane; pilot sensitivity keeps follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_035,std_b1_20_r024,Bereishis 1:20,ישרצו,יִשְׁרְצוּ הַמַּיִם,3.07,VERB.TENSE.FUTURE,3.07,Isolates ישרצו into a 3.07 verb-feature lane; future/jussive evidence remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_036,std_b1_20_r024,Bereishis 1:20,מים,יִשְׁרְצוּ הַמַּיִם,3.01,WORD.MEANING_BASIC,3.01,Isolates מים into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_037,std_b1_20_r026,Bereishis 1:20,עוף,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,3.01,WORD.MEANING_BASIC,3.01,Isolates עוף into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_038,std_b1_20_r026,Bereishis 1:20,יעופף,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,3.07,VERB.TENSE.FUTURE,3.07,Isolates יעופף into a verb-feature lane; exact form remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_039,std_b1_20_r026,Bereishis 1:20,על,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,3.03,PREFIX.BASIC_PREPOSITIONS,3.03,Isolates על as a function/preposition candidate; standards mapping remains follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_040,std_b1_20_r026,Bereishis 1:20,ארץ,וְעוֹף יְעוֹפֵף עַל הָאָרֶץ,3.01,WORD.MEANING_BASIC,3.01,Isolates ארץ into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_041,std_b1_21_r030,Bereishis 1:21,את,וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת,3.03,PARTICLE.DIRECT_OBJECT_MARKER,3.03,Isolates את from ואת as direct-object-marker/function-word review.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_042,std_b1_21_r030,Bereishis 1:21,נפש,וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת,3.01,WORD.MEANING_BASIC,3.01,Isolates נפש into a noun-vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_043,std_b1_21_r030,Bereishis 1:21,חיה,וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת,3.01,WORD.MEANING_BASIC,3.01,Isolates חיה into a noun/adjective vocabulary lane.,medium,yossi_enrichment_verified,verified,,
stdtok_b1_14_23_044,std_b1_22_r035,Bereishis 1:22,פרו,פְּרוּ וּרְבוּ,3.07,VERB.TENSE.FUTURE,3.07,Isolates פרו as a verb-feature candidate; imperative framing needs follow-up.,low,needs_follow_up,needs_follow_up,,
stdtok_b1_14_23_045,std_b1_22_r035,Bereishis 1:22,רבו,פְּרוּ וּרְבוּ,3.07,VERB.TENSE.FUTURE,3.07,Isolates רבו as a verb-feature candidate; imperative framing needs follow-up.,low,needs_follow_up,needs_follow_up,,
