candidate_id,ref,hebrew_phrase,hebrew_token,proposed_values,evidence_source_id,evidence_note,confidence,current_status,what_to_check,recommended_default_decision,yossi_decision,yossi_notes,safety_warning
std_b1_24_r002,Bereishis 1:24,תּוֹצֵא הָאָרֶץ,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_002,תוצא הארץ mixes verb-form and noun vocabulary lanes; phrase-level row remains unresolved and superseded by token-split standards candidates.,medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_24_r003,Bereishis 1:24,נֶפֶשׁ חַיָּה לְמִינָהּ,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_003,"נפש חיה למינה mixes noun vocabulary, suffix/construct, and prefix function; keep phrase-level unresolved and superseded by token-split.",medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_24_r004,Bereishis 1:24,בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_004,בהמה/רמש/חיתו/ארץ/למינה mixes multiple noun and prefix lanes; phrase-level unresolved and superseded by token-split.,medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_25_r007,Bereishis 1:25,אֶת חַיַּת הָאָרֶץ לְמִינָהּ,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_007,"את חית הארץ למינה mixes function word, noun, and prefix lanes; phrase-level unresolved and superseded by token-split.",medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_25_r009,Bereishis 1:25,וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ,,proposed_skill_id=std3_03_function_word_recognition; proposed_zekelman_standard=3.03; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.03; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_009,"ואת כל רמש האדמה למינהו mixes direct-marker, noun, and suffix lanes; phrase-level unresolved and superseded by token-split.",medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_26_r014,Bereishis 1:26,וְיִרְדּוּ בִדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_014,וירדו בדגת הים ובעוף השמים mixes verb and noun vocabulary lanes; phrase-level unresolved and superseded by token-split.,medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_26_r015,Bereishis 1:26,וּבַבְּהֵמָה וּבְכָל הָאָרֶץ וּבְכָל הָרֶמֶשׂ הָרֹמֵשׂ עַל הָאָרֶץ,,proposed_skill_id=std3_06_prefix_function_identification; proposed_zekelman_standard=3.06; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_015,ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ mixes prefix/preposition with noun lanes; phrase-level unresolved and superseded by token-split.,low,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_27_r016,Bereishis 1:27,וַיִּבְרָא אֱלֹקִים אֶת הָאָדָם בְּצַלְמוֹ,,proposed_skill_id=std3_03_function_word_recognition; proposed_zekelman_standard=3.03; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.03; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_016,"ויברא אלהים את האדם בצלמו mixes verb, direct marker, and noun lanes; phrase-level unresolved and superseded by token-split.",medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_28_r020,Bereishis 1:28,פְּרוּ וּרְבוּ וּמִלְאוּ אֶת הָאָרֶץ,,proposed_skill_id=std3_07_verb_features; proposed_zekelman_standard=3.07; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_020,פרו ורבו ומלאו את הארץ mixes multiple verb forms and direct marker/noun lanes; phrase-level unresolved and superseded by token-split.,low,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_28_r022,Bereishis 1:28,וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם,,proposed_skill_id=std3_07_verb_features; proposed_zekelman_standard=3.07; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_022,ורדו בדגת הים ובעוף השמים mixes imperative/form and noun lanes; phrase-level unresolved and superseded by token-split.,low,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_29_r026,Bereishis 1:29,אֶת כָּל עֵשֶׂב זֹרֵעַ זֶרַע,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_026,את כל עשב זרע זרע mixes direct-marker plus noun/root work; phrase-level unresolved and superseded by token-split.,medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_29_r028,Bereishis 1:29,וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_028,"ואת כל העץ אשר בו פרי עץ זרע זרע mixes function words, noun vocabulary, and morphology lanes; phrase-level unresolved and superseded by token-split.",medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_30_r032,Bereishis 1:30,וּלְכֹל רוֹמֵשׂ עַל הָאָרֶץ אֲשֶׁר בּוֹ נֶפֶשׁ חַיָּה,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_032,"ולכל רמש על הארץ אשר בו נפש חיה mixes prefix/preposition, noun, and context lanes; phrase-level unresolved and superseded by token-split.",medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
std_b1_30_r033,Bereishis 1:30,אֶת כָּל יֶרֶק עֵשֶׂב לְאָכְלָה,,proposed_skill_id=std3_01_noun_vocabulary_recognition; proposed_zekelman_standard=3.01; proposed_standard_level=Levels 1-8,data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_24_to_1_31_source_to_skill_map.tsv:row_033,"את כל ירק עשב לאכלה mixes direct-marker, noun vocabulary, and prefix lanes; phrase-level unresolved and superseded by token-split.",medium,needs_follow_up,Confirm whether the phrase-level standards proposal should remain superseded by token-split review rows; keep all later gates closed.,needs_follow_up,,,"This is enrichment review only. It is not question approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval."
