review_group_id,category,hebrew_token_or_pattern,refs_or_count,representative_candidate_ids,evidence_summary,strengthened_confidence,recommended_yossi_decision,recommendation_reason,yossi_decision,yossi_notes
p2_comp_120,clean_shoresh_group,ברא,1 candidates; Bereishis 2:3,p2_vocab_033,"1 raw candidates across 1 refs; verified source rows: Bereishis 2:3; sample local source evidence: Bereishis 2:3: אֲשֶׁר בָּרָא אֱלֹהִים לַעֲשׂוֹת -> that Hashem created (and was supposed) to make (on the seventh day, namely, the person, and instead He made double on the sixth day and ceased on the seventh)",medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_121,clean_shoresh_group,הלך,1 candidates; Bereishis 2:14,p2_vocab_172,1 raw candidates across 1 refs; verified source rows: Bereishis 2:14; sample local source evidence: Bereishis 2:14: הוּא הַהֹלֵךְ קִדְמַת אַשּׁוּר -> he is the one who goes East of Ashur,medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_122,clean_shoresh_group,חיה,"2 candidates; Bereishis 2:7, Bereishis 2:19","p2_vocab_094, p2_vocab_250","2 raw candidates across 2 refs; verified source rows: Bereishis 2:19, Bereishis 2:7; sample local source evidence: Bereishis 2:7: וַיְהִי הָאָדָם לְנֶפֶשׁ חַיָּה -> and the person became a live soul | Bereishis 2:19: וְכֹל אֲשֶׁר יִקְרָא לוֹ הָאָדָם נֶפֶשׁ חַיָּה -> and any live soul that the person will call to him (a name)",medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_123,clean_shoresh_group,יצר,"2 candidates; Bereishis 2:8, Bereishis 2:19","p2_vocab_106, p2_vocab_225","2 raw candidates across 2 refs; verified source rows: Bereishis 2:19, Bereishis 2:8; sample local source evidence: Bereishis 2:8: אֶת הָאָדָם אֲשֶׁר יָצָר -> the person that He formed | Bereishis 2:19: וַיִּצֶר יְהוָה אֱלֹהִים מִן הָאֲדָמָה -> and Hashem formed from the ground",medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_124,clean_shoresh_group,לקח,1 candidates; Bereishis 2:22,p2_vocab_287,1 raw candidates across 1 refs; verified source rows: Bereishis 2:22; sample local source evidence: Bereishis 2:22: אֶת הַצֵּלָע אֲשֶׁר לָקַח מִן הָאָדָם -> the side that He took from the person,medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_125,clean_shoresh_group,מות,1 candidates; Bereishis 2:17,p2_vocab_211,1 raw candidates across 1 refs; verified source rows: Bereishis 2:17; sample local source evidence: Bereishis 2:17: מוֹת תָּמוּת -> you will die,medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_126,clean_shoresh_group,עשה,2 candidates; Bereishis 2:2,"p2_vocab_012, p2_vocab_019",2 raw candidates across 1 refs; verified source rows: Bereishis 2:2; sample local source evidence: Bereishis 2:2: וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה -> and Hashem finished in the seventh day His constructive work that He made | Bereishis 2:2: מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה -> from all His constructive work that He made,medium-low,needs_follow_up,"Verified source rows support the surface word context, but the local source map does not explicitly provide the target shoresh for these rows.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_127,clean_vocabulary_noun_group,אביו,1 candidates; Bereishis 2:24,p2_vocab_314,1 raw candidates across 1 refs; verified source rows: Bereishis 2:24; sample local source evidence: Bereishis 2:24: אֶת אָבִיו וְאֶת אִמּוֹ -> his father and mother,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_128,clean_vocabulary_noun_group,אבן,1 candidates; Bereishis 2:12,p2_vocab_155,1 raw candidates across 1 refs; verified source rows: Bereishis 2:12; sample local source evidence: Bereishis 2:12: שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם -> there is the crystal and the Shoham stone,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_129,clean_vocabulary_noun_group,אדם,"15 candidates; Bereishis 2:5, Bereishis 2:7, Bereishis 2:8, Bereishis 2:15, Bereishis 2:16, Bereishis 2:18, Bereishis 2:19, Bereishis 2:20 (+4 more refs)","p2_vocab_065, p2_vocab_083, p2_vocab_092, p2_vocab_104, p2_vocab_183, p2_vocab_193, p2_vocab_219, p2_vocab_239, p2_vocab_248, p2_vocab_254, +5 more","15 raw candidates across 12 refs; verified source rows: Bereishis 2:15, Bereishis 2:16, Bereishis 2:18, Bereishis 2:19, Bereishis 2:20, Bereishis 2:21, Bereishis 2:22, Bereishis 2:23, +4 more; sample local source evidence: Bereishis 2:5: וְאָדָם אַיִן לַעֲבֹד אֶת הָאֲדָמָה -> and a person isn't (available) to work the ground | Bereishis 2:7: וַיִּיצֶר יְהוָה אֱלֹהִים אֶת הָאָדָם -> and Hashem formed the person | Bereishis 2:7: וַיְהִי הָאָדָם לְנֶפֶשׁ חַיָּה -> and the person became a live soul",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_130,clean_vocabulary_noun_group,אדמה,"5 candidates; Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:9, Bereishis 2:19","p2_vocab_069, p2_vocab_078, p2_vocab_086, p2_vocab_111, p2_vocab_229","5 raw candidates across 5 refs; verified source rows: Bereishis 2:19, Bereishis 2:5, Bereishis 2:6, Bereishis 2:7, Bereishis 2:9; sample local source evidence: Bereishis 2:5: וְאָדָם אַיִן לַעֲבֹד אֶת הָאֲדָמָה -> and a person isn't (available) to work the ground | Bereishis 2:6: וְהִשְׁקָה אֶת כׇּל פְּנֵי הָאֲדָמָה -> and it will water the whole face of the ground | Bereishis 2:7: עָפָר מִן הָאֲדָמָה -> dirt from the ground",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_131,clean_vocabulary_noun_group,איש,1 candidates; Bereishis 2:24,p2_vocab_312,1 raw candidates across 1 refs; verified source rows: Bereishis 2:24; sample local source evidence: Bereishis 2:24: עַל כֵּן יַעֲזָב אִישׁ -> therefore a man should leave,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_132,clean_vocabulary_noun_group,אלה,1 candidates; Bereishis 2:4,p2_vocab_036,1 raw candidates across 1 refs; verified source rows: Bereishis 2:4; sample local source evidence: Bereishis 2:4: אֵלֶּה -> these (mentioned previously are),medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_133,clean_vocabulary_noun_group,אמו,1 candidates; Bereishis 2:24,p2_vocab_316,1 raw candidates across 1 refs; verified source rows: Bereishis 2:24; sample local source evidence: Bereishis 2:24: אֶת אָבִיו וְאֶת אִמּוֹ -> his father and mother,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_134,clean_vocabulary_noun_group,ארץ,"8 candidates; Bereishis 2:1, Bereishis 2:4, Bereishis 2:5, Bereishis 2:6, Bereishis 2:11, Bereishis 2:12, Bereishis 2:13","p2_vocab_003, p2_vocab_039, p2_vocab_045, p2_vocab_064, p2_vocab_073, p2_vocab_144, p2_vocab_150, p2_vocab_165","8 raw candidates across 7 refs; verified source rows: Bereishis 2:1, Bereishis 2:11, Bereishis 2:12, Bereishis 2:13, Bereishis 2:4, Bereishis 2:5, Bereishis 2:6; sample local source evidence: Bereishis 2:1: וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ -> and the sky and land were completed | Bereishis 2:4: הַשָּׁמַיִם וְהָאָרֶץ -> the sky and the land | Bereishis 2:4: אֶרֶץ וְשָׁמָיִם -> land and sky",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_135,clean_vocabulary_noun_group,אשה,1 candidates; Bereishis 2:23,p2_vocab_304,1 raw candidates across 1 refs; verified source rows: Bereishis 2:23; sample local source evidence: Bereishis 2:23: לְזֹאת יִקָּרֵא אִשָּׁה -> to this it will be called woman,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_136,clean_vocabulary_noun_group,בדלח,1 candidates; Bereishis 2:12,p2_vocab_154,1 raw candidates across 1 refs; verified source rows: Bereishis 2:12; sample local source evidence: Bereishis 2:12: שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּׁהַם -> there is the crystal and the Shoham stone,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_137,clean_vocabulary_noun_group,בשר,"2 candidates; Bereishis 2:21, Bereishis 2:23","p2_vocab_279, p2_vocab_300","2 raw candidates across 2 refs; verified source rows: Bereishis 2:21, Bereishis 2:23; sample local source evidence: Bereishis 2:21: וַיִּסְגֹּר בָּשָׂר תַּחְתֶּנָּה -> and He closed flesh under (in place of) her (the missing side) | Bereishis 2:23: עֶצֶם מֵעֲצָמַי וּבָשָׂר מִבְּשָׂרִי -> bone from my bones and flesh from my flesh",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_138,clean_vocabulary_noun_group,גן,"4 candidates; Bereishis 2:8, Bereishis 2:9, Bereishis 2:10, Bereishis 2:16","p2_vocab_098, p2_vocab_121, p2_vocab_131, p2_vocab_197","4 raw candidates across 4 refs; verified source rows: Bereishis 2:10, Bereishis 2:16, Bereishis 2:8, Bereishis 2:9; sample local source evidence: Bereishis 2:8: גַּן בְּעֵדֶן מִקֶּדֶם -> a garden in Eiden from East (on the East side of Eiden) | Bereishis 2:9: בְּתוֹךְ הַגָּן -> (He caused to sprout) in middle of the garden | Bereishis 2:10: לְהַשְׁקוֹת אֶת הַגָּן -> to cause the garden to drink",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_139,clean_vocabulary_noun_group,זהב,"2 candidates; Bereishis 2:11, Bereishis 2:12","p2_vocab_148, p2_vocab_149","2 raw candidates across 2 refs; verified source rows: Bereishis 2:11, Bereishis 2:12; sample local source evidence: Bereishis 2:11: אֲשֶׁר שָׁם הַזָּהָב -> that there is the gold | Bereishis 2:12: וּזֲהַב הָאָרֶץ הַהִוא טוֹב -> and the gold of that land is good",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_140,clean_vocabulary_noun_group,חיים,"2 candidates; Bereishis 2:7, Bereishis 2:9","p2_vocab_090, p2_vocab_119","2 raw candidates across 2 refs; verified source rows: Bereishis 2:7, Bereishis 2:9; sample local source evidence: Bereishis 2:7: וַיִּפַּח בְּאַפָּיו נִשְׁמַת חַיִּים -> and He blew in his nostrils a soul of life | Bereishis 2:9: וְעֵץ הַחַיִּים -> and the tree of life (when one eats of it he lives)",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_141,clean_vocabulary_noun_group,טוב,"5 candidates; Bereishis 2:9, Bereishis 2:12, Bereishis 2:17, Bereishis 2:18","p2_vocab_116, p2_vocab_124, p2_vocab_152, p2_vocab_202, p2_vocab_217","5 raw candidates across 4 refs; verified source rows: Bereishis 2:12, Bereishis 2:17, Bereishis 2:18, Bereishis 2:9; sample local source evidence: Bereishis 2:9: נֶחְמָד לְמַרְאֶה וְטוֹב לְמַאֲכָל -> geshmak for sight and good for food | Bereishis 2:9: וְעֵץ הַדַּעַת טוֹב וָרָע -> and the tree of knowledge of (when one eats of it he gets to know the difference between) good and bad | Bereishis 2:12: וּזֲהַב הָאָרֶץ הַהִוא טוֹב -> and the gold of that land is good",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_142,clean_vocabulary_noun_group,יום,1 candidates; Bereishis 2:3,p2_vocab_023,1 raw candidates across 1 refs; verified source rows: Bereishis 2:3; sample local source evidence: Bereishis 2:3: וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ -> and Hashem blessed the seventh day and He caused it to be holy,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_143,clean_vocabulary_noun_group,מלאכתו,"3 candidates; Bereishis 2:2, Bereishis 2:3","p2_vocab_010, p2_vocab_017, p2_vocab_031","3 raw candidates across 2 refs; verified source rows: Bereishis 2:2, Bereishis 2:3; sample local source evidence: Bereishis 2:2: וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה -> and Hashem finished in the seventh day His constructive work that He made | Bereishis 2:2: מִכָּל מְלַאכְתּוֹ אֲשֶׁר עָשָׂה -> from all His constructive work that He made | Bereishis 2:3: מִכָּל מְלַאכְתּוֹ -> from all His constructive work",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_144,clean_vocabulary_noun_group,נהר,"4 candidates; Bereishis 2:10, Bereishis 2:13, Bereishis 2:14","p2_vocab_126, p2_vocab_158, p2_vocab_168, p2_vocab_175","4 raw candidates across 3 refs; verified source rows: Bereishis 2:10, Bereishis 2:13, Bereishis 2:14; sample local source evidence: Bereishis 2:10: וְנָהָר יֹצֵא מֵעֵדֶן -> and a river goes out from Eiden | Bereishis 2:13: וְשֵׁם הַנָּהָר הַשֵּׁנִי גִּיחוֹן -> and the name of the second river is Gichon | Bereishis 2:14: וְשֵׁם הַנָּהָר הַשְּׁלִישִׁי חִדֶּקֶל -> and the name of the third river is Chidekel",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_145,clean_vocabulary_noun_group,נפש,1 candidates; Bereishis 2:19,p2_vocab_249,1 raw candidates across 1 refs; verified source rows: Bereishis 2:19; sample local source evidence: Bereishis 2:19: וְכֹל אֲשֶׁר יִקְרָא לוֹ הָאָדָם נֶפֶשׁ חַיָּה -> and any live soul that the person will call to him (a name),medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_146,clean_vocabulary_noun_group,עדן,1 candidates; Bereishis 2:15,p2_vocab_186,1 raw candidates across 1 refs; verified source rows: Bereishis 2:15; sample local source evidence: Bereishis 2:15: וַיַּנִּחֵהוּ בְגַן עֵדֶן -> and He caused him to rest (He placed him) in the garden of Eiden,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_147,clean_vocabulary_noun_group,עזר,"2 candidates; Bereishis 2:18, Bereishis 2:20","p2_vocab_223, p2_vocab_266","2 raw candidates across 2 refs; verified source rows: Bereishis 2:18, Bereishis 2:20; sample local source evidence: Bereishis 2:18: אֶעֱשֶׂה לּוֹ עֵזֶר כְּנֶגְדּוֹ -> I will make for him a helper opposite him | Bereishis 2:20: לֹא מָצָא עֵזֶר כְּנֶגְדּוֹ -> he didn't find a helper opposite him",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_148,clean_vocabulary_noun_group,עץ,"4 candidates; Bereishis 2:9, Bereishis 2:16","p2_vocab_113, p2_vocab_118, p2_vocab_122, p2_vocab_196","4 raw candidates across 2 refs; verified source rows: Bereishis 2:16, Bereishis 2:9; sample local source evidence: Bereishis 2:9: כׇּל עֵץ -> all trees | Bereishis 2:9: וְעֵץ הַחַיִּים -> and the tree of life (when one eats of it he lives) | Bereishis 2:9: וְעֵץ הַדַּעַת טוֹב וָרָע -> and the tree of knowledge of (when one eats of it he gets to know the difference between) good and bad",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_149,clean_vocabulary_noun_group,עשב,1 candidates; Bereishis 2:5,p2_vocab_054,1 raw candidates across 1 refs; verified source rows: Bereishis 2:5; sample local source evidence: Bereishis 2:5: וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח -> and all the grass of the field has not yet sprouted,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_150,clean_vocabulary_noun_group,צבאם,1 candidates; Bereishis 2:1,p2_vocab_005,1 raw candidates across 1 refs; verified source rows: Bereishis 2:1; sample local source evidence: Bereishis 2:1: וְכׇל צְבָאָם -> and all their multitudes (all they contained),medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_151,clean_vocabulary_noun_group,צלע,1 candidates; Bereishis 2:22,p2_vocab_285,1 raw candidates across 1 refs; verified source rows: Bereishis 2:22; sample local source evidence: Bereishis 2:22: אֶת הַצֵּלָע אֲשֶׁר לָקַח מִן הָאָדָם -> the side that He took from the person,medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_152,clean_vocabulary_noun_group,רע,"2 candidates; Bereishis 2:9, Bereishis 2:17","p2_vocab_125, p2_vocab_203","2 raw candidates across 2 refs; verified source rows: Bereishis 2:17, Bereishis 2:9; sample local source evidence: Bereishis 2:9: וְעֵץ הַדַּעַת טוֹב וָרָע -> and the tree of knowledge of (when one eats of it he gets to know the difference between) good and bad | Bereishis 2:17: וּמֵעֵץ הַדַּעַת טוֹב וָרָע -> and from the tree of the knowledge of good and bad",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_153,clean_vocabulary_noun_group,שביעי,"3 candidates; Bereishis 2:2, Bereishis 2:3","p2_vocab_009, p2_vocab_015, p2_vocab_024","3 raw candidates across 2 refs; verified source rows: Bereishis 2:2, Bereishis 2:3; sample local source evidence: Bereishis 2:2: וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה -> and Hashem finished in the seventh day His constructive work that He made | Bereishis 2:2: וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי -> and He ceased in the seventh day | Bereishis 2:3: וַיְבָרֶךְ אֱלֹהִים אֶת יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ -> and Hashem blessed the seventh day and He caused it to be holy",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_154,clean_vocabulary_noun_group,שדה,"4 candidates; Bereishis 2:5, Bereishis 2:19, Bereishis 2:20","p2_vocab_049, p2_vocab_055, p2_vocab_232, p2_vocab_262","4 raw candidates across 3 refs; verified source rows: Bereishis 2:19, Bereishis 2:20, Bereishis 2:5; sample local source evidence: Bereishis 2:5: וְכֹל שִׂיחַ הַשָּׂדֶה -> and all the trees of the field | Bereishis 2:5: וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח -> and all the grass of the field has not yet sprouted | Bereishis 2:19: כָּל חַיַּת הַשָּׂדֶה -> all the wild animals of the field",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_155,clean_vocabulary_noun_group,שם,"6 candidates; Bereishis 2:8, Bereishis 2:11, Bereishis 2:12, Bereishis 2:13, Bereishis 2:14","p2_vocab_102, p2_vocab_137, p2_vocab_147, p2_vocab_153, p2_vocab_157, p2_vocab_167","6 raw candidates across 5 refs; verified source rows: Bereishis 2:11, Bereishis 2:12, Bereishis 2:13, Bereishis 2:14, Bereishis 2:8; sample local source evidence: Bereishis 2:8: וַיָּשֶׂם שָׁם -> and He placed there (in the garden) | Bereishis 2:11: שֵׁם הָאֶחָד פִּישׁוֹן -> the name of the one is Pishon | Bereishis 2:11: אֲשֶׁר שָׁם הַזָּהָב -> that there is the gold",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_156,clean_vocabulary_noun_group,שמים,"5 candidates; Bereishis 2:1, Bereishis 2:4, Bereishis 2:19, Bereishis 2:20","p2_vocab_002, p2_vocab_038, p2_vocab_046, p2_vocab_236, p2_vocab_259","5 raw candidates across 4 refs; verified source rows: Bereishis 2:1, Bereishis 2:19, Bereishis 2:20, Bereishis 2:4; sample local source evidence: Bereishis 2:1: וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ -> and the sky and land were completed | Bereishis 2:4: הַשָּׁמַיִם וְהָאָרֶץ -> the sky and the land | Bereishis 2:4: אֶרֶץ וְשָׁמָיִם -> land and sky",medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
p2_comp_157,clean_vocabulary_noun_group,תולדות,1 candidates; Bereishis 2:4,p2_vocab_037,1 raw candidates across 1 refs; verified source rows: Bereishis 2:4; sample local source evidence: Bereishis 2:4: תוֹלְדוֹת -> the ones that were born from (made out of or as part of),medium,needs_follow_up,"Verified source rows and local translations support the token context, but isolated vocabulary meaning/category is still blank in the raw candidates.",needs_follow_up,Kept follow-up. Vocabulary/noun groups need isolated meaning/category review; shoresh groups need explicit target-shoresh confirmation before enrichment verification.
