candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	skill_primary	skill_secondary	proposed_skill_id	proposed_zekelman_standard	proposed_standard_level	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
std_b1_14_r002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_002	zekelman_structured_standard; verified_source_to_skill_map	יהי/מאורות/רקיע/שמים mixes verb, noun vocabulary, prefix, and article work. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_14_r003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	phrase_translation	translation_context	std3_06_prefix_function_identification	3.06	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_003	zekelman_structured_standard; verified_source_to_skill_map	להבדיל/בין/היום/הלילה mixes prefix, verb/root, function word, and noun vocabulary lanes. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	low	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_15_r007	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_007	Bereishis 1:15	וְהָיוּ לִמְאוֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_007	zekelman_structured_standard; verified_source_to_skill_map	והיו למאורות ברקיע השמים mixes verb, prefix, and noun vocabulary lanes. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_16_r011	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_011	Bereishis 1:16	אֶת שְׁנֵי הַמְּאֹרֹת הַגְּדֹלִים	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_011	zekelman_structured_standard; verified_source_to_skill_map	את שני המאורות הגדולים mixes direct marker, number/adjective, and noun vocabulary. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_16_r012	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_012	Bereishis 1:16	אֶת הַמָּאוֹר הַגָּדֹל לְמֶמְשֶׁלֶת הַיּוֹם	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_012	zekelman_structured_standard; verified_source_to_skill_map	את המאור הגדול לממשלת היום mixes direct marker, noun vocabulary, prefix, and context-heavy phrase meaning. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_16_r013	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_013	Bereishis 1:16	וְאֶת הַמָּאוֹר הַקָּטֹן לְמֶמְשֶׁלֶת הַלָּיְלָה	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_013	zekelman_structured_standard; verified_source_to_skill_map	ואת המאור הקטן לממשלת הלילה mixes direct marker/conjunction, noun vocabulary, prefix, and context-heavy phrase meaning. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_16_r014	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_014	Bereishis 1:16	וְאֵת הַכּוֹכָבִים	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_014	zekelman_structured_standard; verified_source_to_skill_map	ואת הכוכבים mixes direct marker/conjunction and noun vocabulary. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_18_r018	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_018	Bereishis 1:18	וְלִמְשֹׁל בַּיּוֹם וּבַלַּיְלָה	phrase_translation	translation_context	std3_06_prefix_function_identification	3.06	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.06; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_018	zekelman_structured_standard; verified_source_to_skill_map	ולמשול ביום ובלילה mixes prefix, verb/root, and noun vocabulary lanes. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	low	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_18_r019	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_019	Bereishis 1:18	וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_019	zekelman_structured_standard; verified_source_to_skill_map	ולהבדיל בין האור ובין החשך mixes prefix, verb/root, function words, and noun vocabulary lanes. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_20_r024	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_024	Bereishis 1:20	יִשְׁרְצוּ הַמַּיִם	phrase_translation	translation_context	std3_07_verb_features	3.07	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_024	zekelman_structured_standard; verified_source_to_skill_map	ישרצו המים mixes verb-form and noun vocabulary lanes. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	low	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_20_r026	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_026	Bereishis 1:20	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_026	zekelman_structured_standard; verified_source_to_skill_map	ועוף יעופף על הארץ mixes noun vocabulary, verb-form, preposition, and noun vocabulary. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_21_r030	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_030	Bereishis 1:21	וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת	phrase_translation	translation_context	std3_01_noun_vocabulary_recognition	3.01	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.01; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_030	zekelman_structured_standard; verified_source_to_skill_map	ואת כל נפש החיה הרמשת mixes direct marker, quantifier, noun vocabulary, adjective, and verb/participle work. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	medium	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
std_b1_22_r035	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_035	Bereishis 1:22	פְּרוּ וּרְבוּ	phrase_translation	translation_context	std3_07_verb_features	3.07	Levels 1-8	data/standards/zekelman/structured/zekelman_2025_standard_3_vocabulary_language_skills.json:3.07; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_035	zekelman_structured_standard; verified_source_to_skill_map	פרו ורבו contains two imperative-style verb forms and should be reviewed token by token. Phrase-level candidate remains unresolved and superseded by token-split standards candidates.	low	needs_follow_up	needs_follow_up	Yossi follow-up: phrase-level standards row is too broad and superseded by token-split standards candidates.	needs_review	false	false	false
