candidate_id	source_map_file	source_row_id	ref	hebrew_phrase	token_index	hebrew_token	clean_hebrew_no_nikud	proposed_translation	proposed_shoresh_or_keyword	proposed_vocabulary_category	first_150_match	first_150_entry_id	evidence_source_id	evidence_source_type	evidence_note	confidence	enrichment_review_status	yossi_decision	yossi_notes	question_allowed	protected_preview_allowed	runtime_allowed	reviewed_bank_allowed
vocab_b1_14_r002_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	2	מאורות	מארת	luminaries / lights	מאור	noun_keyword	false		data/word_bank.json:מארת; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_002	project_word_bank_reference_only; verified_source_to_skill_map	מאורות is central to the slice but evidence is mostly contextual/word-bank.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r002_t004	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	4	רקיע	רקיע	expanse / firmament / sky	רקיע	noun_keyword	false		data/curriculum_extraction/reports/batch_002_manual_review_packet.md:רקיע; data/word_bank.json:רקיע	curriculum_extraction_manual_review_packet; project_word_bank_reference_only	רקיע has prior local explanatory evidence and word-bank support.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r002_t005	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_002	Bereishis 1:14	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	5	שמים	שמים	sky / heavens	שמים	noun_keyword	true	vocabulary_priority_pack:שמים	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:שמים	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	שמים appears in local vocabulary seed evidence and word_bank.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r003_t003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	3	יום	יום	day	יום	noun_keyword	true	vocabulary_priority_pack:יום	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:יום	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	יום appears in local vocabulary seed evidence.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r003_t006	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_003	Bereishis 1:14	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	6	לילה	לילה	night	לילה	noun_keyword	true	vocabulary_priority_pack:לילה	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:לילה	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	לילה appears in local vocabulary seed evidence.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r004_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_004	Bereishis 1:14	וְהָיוּ לְאֹתֹת	2	אותות	אתת	signs	אות	noun_keyword	false		data/word_bank.json:אותות; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_004	project_word_bank_reference_only; verified_source_to_skill_map	אותות is contextually important but direct seed evidence is thin.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
vocab_b1_14_r005_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_005	Bereishis 1:14	וּלְמוֹעֲדִים	1	מועדים	מועדים	appointed times / seasons	מועד	noun_keyword	false		data/word_bank.json:ולמועדים; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_005	project_word_bank_reference_only; verified_source_to_skill_map	מועדים is context-rich and useful, but standalone evidence is thin.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
vocab_b1_14_r006_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_006	Bereishis 1:14	וּלְיָמִים וְשָׁנִים	1	ימים	ימים	days	יום	noun_keyword	true	vocabulary_priority_pack:יום	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:ימים	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	ימים links to the יום vocabulary seed, but plural form review is useful.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_14_r006_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_006	Bereishis 1:14	וּלְיָמִים וְשָׁנִים	2	שנים	שנים	years	שנה	noun_keyword	true	vocabulary_priority_pack:שנה	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_006	vocabulary_priority_pack_raw_reference; verified_source_to_skill_map	שנים is supported by local שנה seed evidence, but plural mapping should be reviewed.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_16_r014_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_014	Bereishis 1:16	וְאֵת הַכּוֹכָבִים	2	כוכבים	כוכבים	stars	כוכב	noun_keyword	false		data/word_bank.json:הכוכבים; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_014	project_word_bank_reference_only; verified_source_to_skill_map	כוכבים is locally attested but not linked to a standalone seed.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
vocab_b1_18_r019_t003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_019	Bereishis 1:18	וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ	3	אור	אור	light	אור	noun_keyword	false		data/source_skill_enrichment/vocabulary_shoresh_candidates/bereishis_1_1_to_1_5_vocabulary_shoresh_candidates.tsv:vocab_b1_3_r013_t002; data/word_bank.json	prior_enrichment_reference_only; project_word_bank_reference_only	אור was previously reviewed in the pilot layer, but this slice still needs explicit review.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_18_r019_t006	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_019	Bereishis 1:18	וּלְהַבְדִּיל בֵּין הָאוֹר וּבֵין הַחֹשֶׁךְ	6	חושך	חשך	darkness	חשך	noun_keyword	false		data/word_bank.json:החשך; data/source_skill_enrichment/reports/bereishis_1_1_to_1_5_enrichment_follow_up_inventory.md	project_word_bank_reference_only; prior_follow_up_reference	חשך has local references but remained sensitive in the pilot; keep follow-up.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
vocab_b1_20_r024_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_024	Bereishis 1:20	יִשְׁרְצוּ הַמַּיִם	2	מים	מים	water	מים	noun_keyword	true	vocabulary_priority_pack:מים	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	מים appears in local vocabulary seed evidence.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_20_r025_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_025	Bereishis 1:20	שֶׁרֶץ נֶפֶשׁ חַיָּה	1	שרץ	שרץ	swarming creature / swarm	שרץ	noun_or_root_keyword	false		data/word_bank.json:שרץ; data/curriculum_extraction/reports/batch_001_source_gap_request.md:62	project_word_bank_reference_only; curriculum_extraction_gap_reference	שרץ has local word-bank and source-gap evidence; review needed for vocabulary/root framing.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_20_r025_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_025	Bereishis 1:20	שֶׁרֶץ נֶפֶשׁ חַיָּה	2	נפש	נפש	living being / soul	נפש	noun_keyword	false		data/word_bank.json:נפש; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_025	project_word_bank_reference_only; verified_source_to_skill_map	נפש is locally attested, but standalone vocabulary evidence should be reviewed.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_20_r025_t003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_025	Bereishis 1:20	שֶׁרֶץ נֶפֶשׁ חַיָּה	3	חיה	חיה	living / alive creature	חי	noun_or_adjective_keyword	true	vocabulary_priority_pack:חי	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_025	vocabulary_priority_pack_raw_reference; verified_source_to_skill_map	חיה relates to local חי seed evidence, but exact category needs review.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_20_r026_t001	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_026	Bereishis 1:20	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	1	עוף	עוף	bird / flying creature	עוף	noun_keyword	true	vocabulary_priority_pack:עוף	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json:עוף	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	עוף appears in local vocabulary seed evidence and word_bank.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_21_r029_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_029	Bereishis 1:21	אֶת הַתַּנִּינִם הַגְּדֹלִים	2	תנינים	תנינים	large sea creatures	תנין	noun_keyword	false		data/word_bank.json; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_029	project_word_bank_reference_only; verified_source_to_skill_map	תנינים is contextually important but lacks clear local seed evidence.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
vocab_b1_21_r032_t003	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_032	Bereishis 1:21	וְאֵת כָּל עוֹף כָּנָף לְמִינֵהוּ	3	כנף	כנף	wing	כנף	noun_keyword	false		data/word_bank.json; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_032	project_word_bank_reference_only; verified_source_to_skill_map	כנף is useful but currently supported mainly by local context/word-bank reference.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
vocab_b1_23_r038_t002	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_038	Bereishis 1:23	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	2	ערב	ערב	evening	ערב	noun_keyword	true	vocabulary_priority_pack:ערב	data/curriculum_extraction/raw_sources/batch_001/vocabulary_priority_pack_cleaned.md:line14; data/word_bank.json	vocabulary_priority_pack_raw_reference; project_word_bank_reference_only	ערב appears in local vocabulary seed evidence.	medium	yossi_enrichment_verified	verified	Yossi verified: acceptable local vocabulary/shoresh evidence for enrichment only; all later gates remain closed.	needs_review	false	false	false
vocab_b1_23_r038_t004	data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv	row_038	Bereishis 1:23	וַיְהִי עֶרֶב וַיְהִי בֹקֶר	4	בקר	בקר	morning	בקר	noun_keyword	false		data/word_bank.json; data/verified_source_skill_maps/bereishis_1_14_to_1_23_source_to_skill_map.tsv:row_038	project_word_bank_reference_only; verified_source_to_skill_map	בקר is locally attested but lacks clear seed evidence in the inspected local priority list.	low	needs_follow_up	needs_follow_up	Yossi follow-up: evidence remains thin, contextual, or sensitive; keep unresolved for stronger support.	needs_review	false	false	false
