skeleton_candidate_id	input_candidate_id	audit_id	ref	hebrew_token	hebrew_phrase	approved_family	skeleton_family	skeleton_policy_version	non_student_facing_skeleton_label	required_variables	forbidden_outputs	teacher_wording_review_status	answer_key_review_status	distractor_review_status	context_display_review_status	hebrew_rendering_review_status	protected_preview_gate_review_status	template_skeleton_status	final_question_allowed	answer_choices_allowed	answer_key_allowed	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	cautions	notes
tskel_b1_001	ppplan_b1_001	qelig_b1_010	Bereishis 1:2	המים	על פני המים	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	Answer-key review must decide base meaning vs article-inclusive meaning.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_002	ppplan_b1_002	qelig_b1_035	Bereishis 1:6	רקיע	יְהִי רָקִיעַ	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_003	ppplan_b1_003	qelig_b1_038	Bereishis 1:11	דשא	תַּדְשֵׁא הָאָרֶץ דֶּשֶׁא	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_004	ppplan_b1_004	qelig_b1_040	Bereishis 1:11	פרי	עֵץ פְּרִי עֹשֶׂה פְּרִי	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_005	ppplan_b1_005	qelig_b1_085	Bereishis 1:14	מאורות	יְהִי מְאֹרֹת בִּרְקִיעַ הַשָּׁמַיִם	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_006	ppplan_b1_006	qelig_b1_089	Bereishis 1:14	לילה	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_007	ppplan_b1_007	qelig_b1_098	Bereishis 1:20	שרץ	שֶׁרֶץ נֶפֶשׁ חַיָּה	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_008	ppplan_b1_008	qelig_b1_101	Bereishis 1:20	עוף	וְעוֹף יְעוֹפֵף עַל הָאָרֶץ	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_009	ppplan_b1_009	qelig_b1_193	Bereishis 1:24	בהמה	בְּהֵמָה וָרֶמֶשׂ וְחַיְתוֹ אֶרֶץ לְמִינָהּ	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_010	ppplan_b1_010	qelig_b1_200	Bereishis 1:25	האדמה	וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	Answer-key review must decide base meaning vs article-inclusive meaning.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_011	ppplan_b1_011	qelig_b1_226	Bereishis 1:31	טוב	וְהִנֵּה טוֹב מְאֹד	vocabulary_meaning	vocabulary_meaning	template_skeleton_policy.v1	meaning_of_single_reviewed_token_skeleton	hebrew_token|hebrew_phrase|approved_family|meaning_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_012	ppplan_b1_012	qelig_b1_022	Bereishis 1:1	ארץ	את השמים ואת הארץ	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_013	ppplan_b1_013	qelig_b1_024	Bereishis 1:3	אור	יהי אור	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_014	ppplan_b1_014	qelig_b1_051	Bereishis 1:8	שמים	וַיִּקְרָא אֱלֹקִים לָרָקִיעַ שָׁמָיִם	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_015	ppplan_b1_015	qelig_b1_057	Bereishis 1:11	זרע	עֵשֶׂב מַזְרִיעַ זֶרַע	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_016	ppplan_b1_016	qelig_b1_126	Bereishis 1:14	יום	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_017	ppplan_b1_017	qelig_b1_160	Bereishis 1:21	נפש	וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_018	ppplan_b1_018	qelig_b1_161	Bereishis 1:21	חיה	וְאֵת כָּל נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_019	ppplan_b1_019	qelig_b1_260	Bereishis 1:25	רמש	וְאֵת כָּל רֶמֶשׂ הָאֲדָמָה לְמִינֵהוּ	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_020	ppplan_b1_020	qelig_b1_290	Bereishis 1:29	עץ	וְאֶת כָּל הָעֵץ אֲשֶׁר בּוֹ פְרִי עֵץ זֹרֵעַ זָרַע	basic_noun_recognition	basic_noun_recognition	template_skeleton_policy.v1	basic_noun_token_recognition_skeleton	hebrew_token|hebrew_phrase|noun_review_status|context_display_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_021	ppplan_b1_021	qelig_b1_133	Bereishis 1:16	את	אֶת שְׁנֵי הַמְּאֹרֹת הַגְּדֹלִים	direct_object_marker_recognition	direct_object_marker_recognition	template_skeleton_policy.v1	direct_object_marker_function_skeleton	hebrew_token|hebrew_phrase|function_review_status|wording_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	Function wording only; do not ask what את means as a simple translation.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_022	ppplan_b1_022	qelig_b1_255	Bereishis 1:25	את	אֶת חַיַּת הָאָרֶץ לְמִינָהּ	direct_object_marker_recognition	direct_object_marker_recognition	template_skeleton_policy.v1	direct_object_marker_function_skeleton	hebrew_token|hebrew_phrase|function_review_status|wording_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	Function wording only; do not ask what את means as a simple translation.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_023	ppplan_b1_023	qelig_b1_018	Bereishis 1:1	ברא	ברא אלקים	shoresh_identification	shoresh_identification	template_skeleton_policy.v1	single_token_shoresh_identification_skeleton	hebrew_token|target_shoresh|shoresh_review_status|wording_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	No special caution beyond required review gates.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
tskel_b1_024	ppplan_b1_024	qelig_b1_125	Bereishis 1:14	הבדיל	לְהַבְדִּיל בֵּין הַיּוֹם וּבֵין הַלָּיְלָה	shoresh_identification	shoresh_identification	template_skeleton_policy.v1	single_token_shoresh_identification_skeleton	hebrew_token|target_shoresh|shoresh_review_status|wording_review_status	final_questions|student_ready_prompts|answer_choices|answer_keys|protected_preview_input_rows|protected_preview_content|reviewed_bank_entries|runtime_data|student_facing_content	needs_review	needs_review	needs_review	needs_review	needs_review	needs_review	planning_only	false	false	false	false	false	false	false	Target shoresh is בדל; surface token is הבדיל.	Template-skeleton planning only. This is not question approval, answer-key approval, protected-preview approval, reviewed-bank approval, runtime approval, or student-facing approval.
